Bug ID,Bug Title,Steps,Module,Module Wise,Expected Results,Actual Results,Acceptance Criteria
BUG-0011,ATM withdrawal receipt missing #10,Step 1: Login to the banking portal -> Step 2: Navigate to Account Management section -> Step 3: Click Open New Account -> Step 4: Select account type (Savings/Current/Fixed Deposit) -> Step 5: Fill in personal details and nominee information -> Step 6: Upload KYC documents -> Step 7: Review and submit application -> Step 8: Verify account opening request confirmation,Account Management,Account Management Wise,Address update request should be submitted and marked as pending approval with an estimated processing timeline,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0012,Interest calculation incorrect for savings #11,Step 1: Login to the banking portal -> Step 2: Navigate to Bill Payments section -> Step 3: Select biller category (Electricity/Water/Gas/Telecom) -> Step 4: Choose biller name from list -> Step 5: Enter consumer/account number -> Step 6: Fetch bill amount -> Step 7: Verify bill details displayed -> Step 8: Select payment account -> Step 9: Click Pay Now -> Step 10: Verify payment confirmation and transaction reference,Bill Payments,Bill Payments Wise,Auto-pay setup should debit the correct amount from the selected account on the scheduled date and send a payment confirmation notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0013,Funds transfer not updating balance #12,Step 1: Login to net banking -> Step 2: Go to Loans > My Loans -> Step 3: Select active loan account -> Step 4: Click View EMI Schedule -> Step 5: Verify EMI breakdown with principal and interest components -> Step 6: Check prepayment/foreclosure options are available,Loans,Loans Wise,Loan approval status should be updated in real time and applicant should receive notification on status change,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0014,ATM withdrawal receipt missing #13,Step 1: Navigate to Forgot Password page -> Step 2: Enter registered email/phone -> Step 3: Click Send Reset Link -> Step 4: Open reset link from email -> Step 5: Enter new password and confirm -> Step 6: Verify password reset success message,Authentication,Authentication Wise,MFA/OTP should be delivered within 30 seconds and should be valid for the configured expiry duration,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0015,Login fails with valid credentials #14,"Step 1: Login to the banking portal -> Step 2: Navigate to Credit Cards section -> Step 3: Select active credit card -> Step 4: Click View Statement -> Step 5: Verify current billing cycle transactions are displayed -> Step 6: Check total outstanding, minimum due, and payment due date",Credit Cards,Credit Cards Wise,Transaction limits (domestic and international) should be updated successfully after OTP verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0016,Interest calculation incorrect for savings #15,Step 1: Login to net banking -> Step 2: Go to Funds Transfer > NEFT/RTGS -> Step 3: Choose registered beneficiary -> Step 4: Enter amount exceeding daily limit -> Step 5: Click Submit -> Step 6: Verify daily limit exceeded error is displayed,Funds Transfer,Funds Transfer Wise,Funds should be debited from source account and credited to beneficiary account with correct amounts reflected in both balances,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0017,Funds transfer not updating balance #16,Step 1: Login to banking portal -> Step 2: Navigate to Account Management > Linked Accounts -> Step 3: Click Link New Account -> Step 4: Enter account number and verify ownership via OTP -> Step 5: Verify linked account appears in dashboard -> Step 6: Test switching between linked accounts,Account Management,Account Management Wise,Account closure request should be processed with final balance settlement details and a closure confirmation receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0018,ATM withdrawal receipt missing #17,Step 1: Login to the banking portal -> Step 2: Navigate to Bill Payments section -> Step 3: Select biller category (Electricity/Water/Gas/Telecom) -> Step 4: Choose biller name from list -> Step 5: Enter consumer/account number -> Step 6: Fetch bill amount -> Step 7: Verify bill details displayed -> Step 8: Select payment account -> Step 9: Click Pay Now -> Step 10: Verify payment confirmation and transaction reference,Bill Payments,Bill Payments Wise,Auto-pay setup should debit the correct amount from the selected account on the scheduled date and send a payment confirmation notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0019,Funds transfer not updating balance #18,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,ATM PIN change should be processed successfully and the new PIN should work immediately for subsequent transactions,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0020,Funds transfer not updating balance #19,Step 1: Login to net banking -> Step 2: Go to Notifications > Notification History -> Step 3: Filter by date range and type -> Step 4: Verify list of past notifications displayed -> Step 5: Click on a notification to view full details -> Step 6: Check mark as read/unread functionality,Notifications,Notifications Wise,Transaction alert should be received on the selected channel (SMS/Email/Push) within 60 seconds of the transaction exceeding the threshold,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0021,Interest calculation incorrect for savings #20,"Step 1: Login to banking portal -> Step 2: Navigate to Loans > Loan Calculator -> Step 3: Enter loan amount, tenure, and interest rate -> Step 4: Click Calculate -> Step 5: Verify monthly EMI, total interest, and total payable amounts are displayed correctly",Loans,Loans Wise,Loan application should be submitted successfully and a unique application reference number should be generated,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0022,ATM withdrawal receipt missing #21,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,Notification read/unread status should be updated correctly when user interacts with the notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0023,Interest calculation incorrect for savings #22,Step 1: Login to net banking -> Step 2: Go to Account Management > Profile Settings -> Step 3: Click Update Address -> Step 4: Enter new address details -> Step 5: Upload address proof document -> Step 6: Submit update request -> Step 7: Verify address update pending approval message,Account Management,Account Management Wise,New account opening request should be submitted successfully with all documents and a confirmation reference number should be generated,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0024,Interest calculation incorrect for savings #23,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,Transaction alert should be received on the selected channel (SMS/Email/Push) within 60 seconds of the transaction exceeding the threshold,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0025,ATM withdrawal receipt missing #24,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,"Credit card statement should display all transactions for the current billing cycle with correct amounts, dates, and merchant details",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0026,Funds transfer not updating balance #25,Step 1: Login to banking app -> Step 2: Go to Credit Cards > Manage Card -> Step 3: Select card to modify -> Step 4: Click Set/Update Transaction Limit -> Step 5: Enter new domestic and international limits -> Step 6: Authenticate via OTP -> Step 7: Verify limit update confirmation,Credit Cards,Credit Cards Wise,Credit card application should be submitted successfully and a tracking ID should be generated for status monitoring,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0027,Duplicate transaction in statement #26,"Step 1: Login to the banking portal -> Step 2: Navigate to Loans section -> Step 3: Click Apply for New Loan -> Step 4: Select loan type (Personal/Home/Auto) -> Step 5: Fill in personal and financial details -> Step 6: Upload required documents (ID proof, income proof, address proof) -> Step 7: Review application summary -> Step 8: Submit application -> Step 9: Verify application reference number is generated",Loans,Loans Wise,Loan prepayment/foreclosure option should be available with correct penalty calculation and updated outstanding balance,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0028,Interest calculation incorrect for savings #27,Step 1: Login to banking portal -> Step 2: Navigate to Statements -> Step 3: Select account -> Step 4: Apply filter by transaction type (Credit/Debit/All) -> Step 5: Set date range -> Step 6: Click Search -> Step 7: Verify filtered results match criteria -> Step 8: Check pagination for large datasets,Statements,Statements Wise,E-statement should be delivered to the registered email address within 5 minutes with a valid PDF attachment,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0029,Login fails with valid credentials #28,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,Credit card reward points should be calculated correctly based on transaction amount and card reward program rules,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0030,Interest calculation incorrect for savings #29,Step 1: Insert card into ATM -> Step 2: Enter PIN -> Step 3: Select PIN Change option -> Step 4: Enter current PIN -> Step 5: Enter new PIN and confirm -> Step 6: Verify PIN change success message -> Step 7: Eject card and test new PIN with balance inquiry,ATM Services,ATM Services Wise,Balance inquiry should display the correct available and ledger balance on screen with an option to print mini statement,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0031,Interest calculation incorrect for savings #30,Step 1: Login to the banking portal -> Step 2: Navigate to Funds Transfer section -> Step 3: Select source account from dropdown -> Step 4: Enter beneficiary account number and IFSC code -> Step 5: Enter transfer amount and remarks -> Step 6: Review transfer details on confirmation page -> Step 7: Click Confirm Transfer -> Step 8: Verify transaction success message and reference number,Funds Transfer,Funds Transfer Wise,IMPS transfer should be completed instantly and both sender and receiver should receive real-time SMS/push notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0032,Funds transfer not updating balance #31,Step 1: Login to the banking portal -> Step 2: Navigate to Bill Payments section -> Step 3: Select biller category (Electricity/Water/Gas/Telecom) -> Step 4: Choose biller name from list -> Step 5: Enter consumer/account number -> Step 6: Fetch bill amount -> Step 7: Verify bill details displayed -> Step 8: Select payment account -> Step 9: Click Pay Now -> Step 10: Verify payment confirmation and transaction reference,Bill Payments,Bill Payments Wise,Bill payment should fail gracefully with a clear error message if the account has insufficient funds,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0033,ATM withdrawal receipt missing #32,"Step 1: Login to the banking portal -> Step 2: Navigate to Statements section -> Step 3: Select account number from dropdown -> Step 4: Choose statement period (From Date - To Date) -> Step 5: Click Generate Statement -> Step 6: Verify transactions listed with date, description, debit, credit, and balance columns -> Step 7: Click Download as PDF/CSV",Statements,Statements Wise,E-statement should be delivered to the registered email address within 5 minutes with a valid PDF attachment,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0034,Funds transfer not updating balance #33,"Step 1: Login to banking app -> Step 2: Navigate to Bill Payments > Payment History -> Step 3: Select biller -> Step 4: Choose date range -> Step 5: Verify past payment records with date, amount, and status -> Step 6: Click on a transaction to view receipt details",Bill Payments,Bill Payments Wise,Scheduled bill payment should be set up successfully and should execute automatically on the configured dates,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0035,Login fails with valid credentials #34,Step 1: Login to the banking portal -> Step 2: Navigate to Account Management section -> Step 3: Click Open New Account -> Step 4: Select account type (Savings/Current/Fixed Deposit) -> Step 5: Fill in personal details and nominee information -> Step 6: Upload KYC documents -> Step 7: Review and submit application -> Step 8: Verify account opening request confirmation,Account Management,Account Management Wise,New account opening request should be submitted successfully with all documents and a confirmation reference number should be generated,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0036,ATM withdrawal receipt missing #35,"Step 1: Login to the banking portal -> Step 2: Navigate to Credit Cards section -> Step 3: Select active credit card -> Step 4: Click View Statement -> Step 5: Verify current billing cycle transactions are displayed -> Step 6: Check total outstanding, minimum due, and payment due date",Credit Cards,Credit Cards Wise,Transaction limits (domestic and international) should be updated successfully after OTP verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0037,Interest calculation incorrect for savings #36,"Step 1: Login to banking app -> Step 2: Navigate to Bill Payments > Payment History -> Step 3: Select biller -> Step 4: Choose date range -> Step 5: Verify past payment records with date, amount, and status -> Step 6: Click on a transaction to view receipt details",Bill Payments,Bill Payments Wise,Scheduled bill payment should be set up successfully and should execute automatically on the configured dates,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0038,ATM withdrawal receipt missing #37,"Step 1: Login to banking app -> Step 2: Navigate to Bill Payments > Payment History -> Step 3: Select biller -> Step 4: Choose date range -> Step 5: Verify past payment records with date, amount, and status -> Step 6: Click on a transaction to view receipt details",Bill Payments,Bill Payments Wise,Scheduled bill payment should be set up successfully and should execute automatically on the configured dates,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0039,Login fails with valid credentials #38,Step 1: Login to banking app -> Step 2: Go to Credit Cards > Manage Card -> Step 3: Select card to modify -> Step 4: Click Set/Update Transaction Limit -> Step 5: Enter new domestic and international limits -> Step 6: Authenticate via OTP -> Step 7: Verify limit update confirmation,Credit Cards,Credit Cards Wise,Credit card reward points should be calculated correctly based on transaction amount and card reward program rules,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0040,ATM withdrawal receipt missing #39,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,"Credit card statement should display all transactions for the current billing cycle with correct amounts, dates, and merchant details",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0041,Login fails with valid credentials #40,Step 1: Login to the banking portal -> Step 2: Navigate to Account Management section -> Step 3: Click Open New Account -> Step 4: Select account type (Savings/Current/Fixed Deposit) -> Step 5: Fill in personal details and nominee information -> Step 6: Upload KYC documents -> Step 7: Review and submit application -> Step 8: Verify account opening request confirmation,Account Management,Account Management Wise,Account linking should be completed after OTP verification and the linked account should appear in the dashboard immediately,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0042,Interest calculation incorrect for savings #41,"Step 1: Login to mobile banking app -> Step 2: Go to Settings > Push Notifications -> Step 3: Toggle ON/OFF for different categories (Transactions, Offers, Security) -> Step 4: Save settings -> Step 5: Trigger a relevant event -> Step 6: Verify push notification received/not received based on settings",Notifications,Notifications Wise,"Notification history should display all past alerts with correct date, type, and message content",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0043,Login fails with valid credentials #42,Step 1: Login to banking portal -> Step 2: Navigate to Statements -> Step 3: Select account -> Step 4: Apply filter by transaction type (Credit/Debit/All) -> Step 5: Set date range -> Step 6: Click Search -> Step 7: Verify filtered results match criteria -> Step 8: Check pagination for large datasets,Statements,Statements Wise,"Transaction filters (credit/debit/all, date range) should return accurate results matching the selected criteria",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0044,ATM withdrawal receipt missing #43,Step 1: Login to the banking portal -> Step 2: Navigate to Funds Transfer section -> Step 3: Select source account from dropdown -> Step 4: Enter beneficiary account number and IFSC code -> Step 5: Enter transfer amount and remarks -> Step 6: Review transfer details on confirmation page -> Step 7: Click Confirm Transfer -> Step 8: Verify transaction success message and reference number,Funds Transfer,Funds Transfer Wise,IMPS transfer should be completed instantly and both sender and receiver should receive real-time SMS/push notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0045,ATM withdrawal receipt missing #44,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,"ATM should dispense the exact requested amount and print a receipt showing transaction details, remaining balance, and date/time",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0046,Duplicate transaction in statement #45,"Step 1: Login to mobile banking app -> Step 2: Go to Settings > Push Notifications -> Step 3: Toggle ON/OFF for different categories (Transactions, Offers, Security) -> Step 4: Save settings -> Step 5: Trigger a relevant event -> Step 6: Verify push notification received/not received based on settings",Notifications,Notifications Wise,Notification read/unread status should be updated correctly when user interacts with the notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0047,Login fails with valid credentials #46,Step 1: Login to the banking portal -> Step 2: Navigate to Funds Transfer section -> Step 3: Select source account from dropdown -> Step 4: Enter beneficiary account number and IFSC code -> Step 5: Enter transfer amount and remarks -> Step 6: Review transfer details on confirmation page -> Step 7: Click Confirm Transfer -> Step 8: Verify transaction success message and reference number,Funds Transfer,Funds Transfer Wise,Transaction reference number should be generated and displayed upon successful transfer along with SMS/email confirmation,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0048,Login fails with valid credentials #47,Step 1: Login to banking portal -> Step 2: Navigate to Account Management > Linked Accounts -> Step 3: Click Link New Account -> Step 4: Enter account number and verify ownership via OTP -> Step 5: Verify linked account appears in dashboard -> Step 6: Test switching between linked accounts,Account Management,Account Management Wise,Account closure request should be processed with final balance settlement details and a closure confirmation receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0049,Duplicate transaction in statement #48,"Step 1: Login to the banking portal -> Step 2: Navigate to Statements section -> Step 3: Select account number from dropdown -> Step 4: Choose statement period (From Date - To Date) -> Step 5: Click Generate Statement -> Step 6: Verify transactions listed with date, description, debit, credit, and balance columns -> Step 7: Click Download as PDF/CSV",Statements,Statements Wise,E-statement should be delivered to the registered email address within 5 minutes with a valid PDF attachment,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0050,ATM withdrawal receipt missing #49,Step 1: Login to banking portal -> Step 2: Navigate to Account Management > Linked Accounts -> Step 3: Click Link New Account -> Step 4: Enter account number and verify ownership via OTP -> Step 5: Verify linked account appears in dashboard -> Step 6: Test switching between linked accounts,Account Management,Account Management Wise,Account closure request should be processed with final balance settlement details and a closure confirmation receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0051,Login fails with valid credentials #50,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,Transaction limits (domestic and international) should be updated successfully after OTP verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0052,Funds transfer not updating balance #51,Step 1: Download and install mobile banking app -> Step 2: Open app and tap Register -> Step 3: Enter account number and registered mobile number -> Step 4: Verify OTP sent to mobile -> Step 5: Enter OTP -> Step 6: Set login password and MPIN -> Step 7: Verify registration success and dashboard is displayed,Mobile Banking,Mobile Banking Wise,Mobile banking registration should complete successfully with OTP verification and user should be able to log in with new credentials,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0053,ATM withdrawal receipt missing #52,"Step 1: Login to banking app -> Step 2: Navigate to Bill Payments > Payment History -> Step 3: Select biller -> Step 4: Choose date range -> Step 5: Verify past payment records with date, amount, and status -> Step 6: Click on a transaction to view receipt details",Bill Payments,Bill Payments Wise,Bill payment should fail gracefully with a clear error message if the account has insufficient funds,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0054,Interest calculation incorrect for savings #53,Step 1: Login to banking portal -> Step 2: Navigate to Statements -> Step 3: Select account -> Step 4: Apply filter by transaction type (Credit/Debit/All) -> Step 5: Set date range -> Step 6: Click Search -> Step 7: Verify filtered results match criteria -> Step 8: Check pagination for large datasets,Statements,Statements Wise,Statement should be downloadable in PDF and CSV formats with all transaction details matching the on-screen display,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0055,Duplicate transaction in statement #54,Step 1: Login to banking app -> Step 2: Go to Credit Cards > Manage Card -> Step 3: Select card to modify -> Step 4: Click Set/Update Transaction Limit -> Step 5: Enter new domestic and international limits -> Step 6: Authenticate via OTP -> Step 7: Verify limit update confirmation,Credit Cards,Credit Cards Wise,Credit card reward points should be calculated correctly based on transaction amount and card reward program rules,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0056,ATM withdrawal receipt missing #55,Step 1: Login to banking app -> Step 2: Go to Credit Cards > Manage Card -> Step 3: Select card to modify -> Step 4: Click Set/Update Transaction Limit -> Step 5: Enter new domestic and international limits -> Step 6: Authenticate via OTP -> Step 7: Verify limit update confirmation,Credit Cards,Credit Cards Wise,Credit card application should be submitted successfully and a tracking ID should be generated for status monitoring,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0057,Duplicate transaction in statement #56,"Step 1: Login to banking app -> Step 2: Navigate to Bill Payments > Payment History -> Step 3: Select biller -> Step 4: Choose date range -> Step 5: Verify past payment records with date, amount, and status -> Step 6: Click on a transaction to view receipt details",Bill Payments,Bill Payments Wise,"Bill amount should be fetched and displayed correctly for the selected biller and consumer number, and payment should be processed with a confirmation receipt",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0058,Interest calculation incorrect for savings #57,"Step 1: Login to banking portal -> Step 2: Navigate to Loans > Loan Calculator -> Step 3: Enter loan amount, tenure, and interest rate -> Step 4: Click Calculate -> Step 5: Verify monthly EMI, total interest, and total payable amounts are displayed correctly",Loans,Loans Wise,Loan prepayment/foreclosure option should be available with correct penalty calculation and updated outstanding balance,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0059,Login fails with valid credentials #58,Step 1: Login to banking app -> Step 2: Navigate to Funds Transfer -> Step 3: Select IMPS as transfer mode -> Step 4: Enter beneficiary mobile number and MMID -> Step 5: Enter amount -> Step 6: Authenticate with MPIN -> Step 7: Verify instant confirmation and SMS notification,Funds Transfer,Funds Transfer Wise,NEFT/RTGS transfer should be processed within the defined settlement window and beneficiary should receive funds accordingly,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0060,Interest calculation incorrect for savings #59,Step 1: Login to net banking -> Step 2: Go to Account Management > Profile Settings -> Step 3: Click Update Address -> Step 4: Enter new address details -> Step 5: Upload address proof document -> Step 6: Submit update request -> Step 7: Verify address update pending approval message,Account Management,Account Management Wise,Account linking should be completed after OTP verification and the linked account should appear in the dashboard immediately,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0061,Login fails with valid credentials #60,Step 1: Open the banking application login page -> Step 2: Enter valid username and password -> Step 3: Click the Login button -> Step 4: Verify MFA/OTP prompt is displayed -> Step 5: Enter OTP and submit -> Step 6: Verify dashboard is loaded successfully,Authentication,Authentication Wise,Invalid login attempts should be blocked after the maximum retry limit and account should be temporarily locked,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0062,Login fails with valid credentials #61,Step 1: Open login page -> Step 2: Enter credentials and login -> Step 3: Remain idle for session timeout duration -> Step 4: Attempt any action after timeout -> Step 5: Verify session expiry message is shown -> Step 6: Confirm redirect to login page,Authentication,Authentication Wise,User should be authenticated successfully and redirected to the dashboard after entering valid credentials and OTP,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0063,Duplicate transaction in statement #62,"Step 1: Login to mobile banking app -> Step 2: Go to Settings > Push Notifications -> Step 3: Toggle ON/OFF for different categories (Transactions, Offers, Security) -> Step 4: Save settings -> Step 5: Trigger a relevant event -> Step 6: Verify push notification received/not received based on settings",Notifications,Notifications Wise,"Notification history should display all past alerts with correct date, type, and message content",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0064,Interest calculation incorrect for savings #63,Step 1: Login to the banking portal -> Step 2: Navigate to Account Management section -> Step 3: Click Open New Account -> Step 4: Select account type (Savings/Current/Fixed Deposit) -> Step 5: Fill in personal details and nominee information -> Step 6: Upload KYC documents -> Step 7: Review and submit application -> Step 8: Verify account opening request confirmation,Account Management,Account Management Wise,Address update request should be submitted and marked as pending approval with an estimated processing timeline,System failed to perform as expected,Operation must meet functional and business requirements
